"device_id","ts","cte","steer_fb","speed","x","y","z","time","steering_control_state"
mu-l2-2312-0021,2024-11-25 07:10:33.036000000,-0.25,-43.3,1.22,-3338.46,-3309.85,30.71,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:33.136000000,-0.24,-45.6,1.22,-3338.49,-3309.73,30.71,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:33.338000000,-0.19,-51.5,1.21,-3338.56,-3309.48,30.72,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:33.544000000,-0.15,-57.5,1.2,-3338.61,-3309.22,30.71,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:33.648000000,-0.14,-58.5,1.24,-3338.62,-3309.08,30.72,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:33.755000000,-0.15,-58.3,1.24,-3338.59,-3308.94,30.73,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:33.958000000,-0.19,-55.3,1.2,-3338.56,-3308.7,30.73,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:34.148000000,-0.24,-52.0,1.17,-3338.57,-3308.46,30.74,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:34.249000000,-0.25,-51.3,1.16,-3338.59,-3308.34,30.75,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:34.353000000,-0.26,-51.3,1.16,-3338.6,-3308.22,30.75,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:34.556000000,-0.28,-54.3,1.0,-3338.59,-3308.0,30.74,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:34.755000000,-0.28,-59.6,0.93,-3338.61,-3307.79,30.72,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:34.956000000,-0.26,-66.0,1.0,-3338.65,-3307.6,30.7,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:35.058000000,-0.24,-70.2,0.92,-3338.68,-3307.51,30.69,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:35.258000000,-0.19,-75.0,1.05,-3338.74,-3307.31,30.67,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:35.359000000,-0.18,-76.1,1.1,-3338.75,-3307.19,30.67,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:35.459000000,-0.18,-75.0,1.13,-3338.75,-3307.08,30.67,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:35.661000000,-0.22,-67.5,1.06,-3338.73,-3306.86,30.66,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:35.762000000,-0.25,-62.8,1.15,-3338.71,-3306.73,30.67,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:35.863000000,-0.28,-59.8,1.05,-3338.72,-3306.62,30.68,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:35.965000000,-0.3,-57.8,1.05,-3338.73,-3306.51,30.7,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:36.164000000,-0.28,-56.3,0.93,-3338.84,-3306.32,30.74,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:36.267000000,-0.24,-61.0,1.02,-3338.89,-3306.22,30.75,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:36.371000000,-0.2,-63.0,1.04,-3338.94,-3306.12,30.78,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:36.476000000,-0.16,-68.6,0.99,-3338.98,-3306.03,30.79,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:36.679000000,-0.14,-68.5,1.05,-3338.97,-3305.83,30.83,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:36.881000000,-0.16,-64.4,1.1400000000000001,-3338.97,-3305.59,30.89,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:36.985000000,-0.19,-58.1,1.2,-3338.98,-3305.46,30.91,2024-11-25 07:10:33,ACT_ROBOT
mu-l2-2312-0021,2024-11-25 07:10:37.183000000,-0.26,-49.3,1.24,-3338.96,-3305.22,30.94,2024-11-25 07:10:33,ACT_ROBOT
