"device_id","ts","cte","steer_fb","speed","x","y","z","time","steering_control_state"
tractordroid-23010077,2024-12-02 07:17:48.011000000,-0.1,1.6,2.2800000000000002,-2315.01,-1475.51,23.05,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:48.112000000,-0.04,-0.7,2.24,-2314.96,-1475.29,23.04,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:48.313000000,0.08,-7.1,2.3,-2314.86,-1474.83,23.03,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:48.414000000,0.1,-7.7,2.4,-2314.77,-1474.59,23.05,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:48.518000000,0.08,-6.2,2.35,-2314.67,-1474.37,23.06,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:48.716000000,0.0,0.8,2.32,-2314.49,-1473.94,23.03,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:48.918000000,-0.04,6.8,2.39,-2314.28,-1473.51,23.04,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:49.119000000,-0.05,7.3,2.36,-2314.17,-1473.05,23.06,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:49.225000000,-0.05,6.0,2.32,-2314.11,-1472.82,23.05,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:49.326000000,0.01,4.8,2.42,-2314.05,-1472.6,23.05,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:49.534000000,0.06,2.5,2.4699999999999998,-2313.89,-1472.11,23.06,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:49.729000000,0.06,1.2,2.33,-2313.75,-1471.64,23.05,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:49.838000000,0.11,1.2,2.39,-2313.67,-1471.39,23.05,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:50.037000000,0.15,2.7,2.43,-2313.51,-1470.93,23.09,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:50.138000000,0.09,4.8,2.23,-2313.42,-1470.71,23.1,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:50.338000000,-0.03,8.0,2.39,-2313.23,-1470.27,23.11,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:50.540000000,-0.09,9.1,2.4,-2313.08,-1469.84,23.13,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:50.739000000,-0.06,7.9,2.2800000000000002,-2312.95,-1469.38,23.14,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:50.840000000,-0.03,4.9,2.2800000000000002,-2312.89,-1469.15,23.14,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:51.040000000,0.06,-0.2,2.2800000000000002,-2312.79,-1468.7,23.16,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:51.140000000,0.12,-1.2,2.25,-2312.73,-1468.48,23.18,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:51.341000000,0.14,-1.5,2.25,-2312.58,-1468.05,23.2,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:51.543000000,0.09,3.0,2.33,-2312.38,-1467.63,23.21,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:51.743000000,-0.06,8.8,2.34,-2312.18,-1467.2,23.26,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:51.845000000,-0.08,9.5,2.32,-2312.1,-1466.97,23.27,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:52.047000000,-0.07,8.0,2.2800000000000002,-2311.99,-1466.54,23.26,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:52.152000000,-0.08,5.8,2.25,-2311.94,-1466.32,23.28,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:52.352000000,0.02,-0.3,2.31,-2311.84,-1465.85,23.31,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:52.453000000,0.04,-4.2,2.33,-2311.79,-1465.62,23.31,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:52.654000000,0.08,-5.5,2.4,-2311.62,-1465.18,23.3,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:52.755000000,0.06,-5.4,2.38,-2311.55,-1464.97,23.31,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:52.856000000,0.0,-4.1,2.39,-2311.45,-1464.73,23.32,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:53.059000000,-0.08,0.4,2.4699999999999998,-2311.26,-1464.29,23.35,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:53.259000000,-0.1,1.5,2.29,-2311.14,-1463.85,23.33,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:53.459000000,-0.08,-1.2,2.36,-2311.02,-1463.37,23.32,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:53.561000000,-0.05,-2.5,2.42,-2310.98,-1463.13,23.33,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:53.762000000,0.04,-7.0,2.35,-2310.86,-1462.67,23.34,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:53.964000000,0.07,-8.4,2.36,-2310.71,-1462.24,23.32,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:54.164000000,0.05,-5.7,2.39,-2310.53,-1461.77,23.34,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:54.366000000,0.0,-0.4,2.31,-2310.36,-1461.36,23.34,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:54.573000000,-0.1,3.9,2.39,-2310.19,-1460.91,23.36,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:54.768000000,-0.01,4.0,2.44,-2310.02,-1460.47,23.37,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:54.875000000,0.0,3.5,2.4,-2309.95,-1460.23,23.37,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:55.075000000,0.01,2.4,2.37,-2309.8,-1459.79,23.35,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:55.277000000,0.01,2.5,2.38,-2309.61,-1459.32,23.33,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:55.479000000,-0.01,3.5,2.33,-2309.43,-1458.88,23.31,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:55.679000000,-0.02,3.7,2.37,-2309.26,-1458.43,23.32,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:55.883000000,-0.03,3.7,2.39,-2309.1,-1457.96,23.32,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:55.986000000,-0.02,3.7,2.36,-2309.03,-1457.74,23.31,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:56.186000000,0.01,2.2,2.34,-2308.89,-1457.28,23.3,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:56.387000000,-0.01,1.1,2.35,-2308.73,-1456.82,23.31,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:56.494000000,-0.01,0.0,2.32,-2308.65,-1456.62,23.31,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:56.635000000,-0.03,-0.5,2.38,-2308.57,-1456.41,23.31,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:56.789000000,-0.05,-1.5,2.42,-2308.41,-1455.92,23.3,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:56.900000000,-0.03,-2.3,2.45,-2308.34,-1455.69,23.3,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:57.100000000,0.0,-3.8,2.39,-2308.2,-1455.21,23.31,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:57.201000000,0.0,-4.5,2.43,-2308.13,-1454.98,23.31,2024-12-02 07:17:48,ACT_ROBOT
tractordroid-23010077,2024-12-02 07:17:57.301000000,0.03,-5.0,2.39,-2308.05,-1454.75,23.3,2024-12-02 07:17:48,ACT_ROBOT
