id,device_id,bundle_id,ts,received_at,ang_diff,cte,pitch,roll,speed,speed_fb,speed_ref,steer_fb,steer_ref,x,y,yaw,yaw_rate,z,time
,tractordroid-23080159,,2024-08-21 09:41:05.075000000,2024-08-21 09:41:12.555000000,0.014,0.13,0.049,0.027,2.14,8.3,0.0,-4.5,32.1,-405.92,656.89,-2.333,-0.013,227.92,09:41:05.075000
,tractordroid-23080159,,2024-08-21 09:41:05.182000000,2024-08-21 09:42:44.231000000,0.013,0.13,0.05,0.029,2.03,8.3,0.0,-4.5,33.5,-405.75,656.72,-2.334,-0.013,227.94,09:41:05.182000
,tractordroid-23080159,,2024-08-21 09:41:05.291000000,2024-08-21 09:42:44.231000000,0.013,0.13,0.05,0.029,2.18,8.3,0.0,-4.5,31.6,-405.58,656.55,-2.335,-0.013,227.96,09:41:05.291000
,tractordroid-23080159,,2024-08-21 09:41:05.402000000,2024-08-21 09:42:44.231000000,0.012,0.12,0.049,0.032,1.99,8.3,0.0,-4.0,33.4,-405.41,656.38,-2.335,-0.025,227.97,09:41:05.402000
,tractordroid-23080159,,2024-08-21 09:41:05.516000000,2024-08-21 09:42:44.231000000,0.01,0.11,0.049,0.037,2.28,8.3,0.0,-1.0,29.7,-405.22,656.2,-2.333,-0.029,227.99,09:41:05.516000
,tractordroid-23080159,,2024-08-21 09:41:05.619000000,2024-08-21 09:42:44.231000000,0.006,0.09,0.048,0.038,2.21,8.3,0.0,1.7,27.5,-405.06,656.04,-2.335,-0.042,228.01,09:41:05.619000
,tractordroid-23080159,,2024-08-21 09:41:05.730000000,2024-08-21 09:42:44.231000000,0.001,0.06,0.048,0.037,2.18,8.3,0.0,3.7,25.0,-404.89,655.85,-2.338,-0.052,228.02,09:41:05.730000
,tractordroid-23080159,,2024-08-21 09:41:05.869000000,2024-08-21 09:42:44.231000000,-0.009,0.01,0.047,0.033,2.15,8.3,0.0,5.0,20.1,-404.68,655.6,-2.344,-0.075,228.03,09:41:05.869000
,tractordroid-23080159,,2024-08-21 09:41:05.975000000,2024-08-21 09:42:44.231000000,-0.017,-0.04,0.044,0.04,2.03,8.3,0.0,9.3,16.5,-404.52,655.43,-2.345,-0.078,228.03,09:41:05.975000
,tractordroid-23080159,,2024-08-21 09:41:06.084000000,2024-08-21 09:42:44.231000000,-0.026,-0.08,0.043,0.044,2.35,8.3,0.0,10.6,9.8,-404.36,655.24,-2.351,-0.092,228.03,09:41:06.084000
,tractordroid-23080159,,2024-08-21 09:41:06.190000000,2024-08-21 09:42:44.231000000,-0.036,-0.13,0.041,0.044,2.16,8.3,0.0,12.1,5.4,-404.23,655.06,-2.359,-0.099,228.03,09:41:06.190000
,tractordroid-23080159,,2024-08-21 09:41:06.295000000,2024-08-21 09:42:44.231000000,-0.047,-0.19,0.042,0.046,2.11,8.3,0.0,14.6,-1.1,-404.09,654.84,-2.371,-0.105,228.05,09:41:06.295000
,tractordroid-23080159,,2024-08-21 09:41:06.399000000,2024-08-21 09:42:44.231000000,-0.059,-0.26,0.043,0.049,2.3,8.3,0.0,15.5,-9.4,-403.96,654.64,-2.381,-0.108,228.06,09:41:06.399000
,tractordroid-23080159,,2024-08-21 09:41:06.522000000,2024-08-21 09:42:44.231000000,-0.073,-0.33,0.041,0.054,2.22,8.3,0.0,15.8,-21.4,-403.8,654.42,-2.392,-0.11,228.06,09:41:06.522000
,tractordroid-23080159,,2024-08-21 09:41:06.626000000,2024-08-21 09:42:44.231000000,-0.084,-0.39,0.04,0.056,2.33,8.3,0.0,16.0,-31.0,-403.68,654.24,-2.401,-0.111,228.06,09:41:06.626000
,tractordroid-23080159,,2024-08-21 09:41:06.737000000,2024-08-21 09:42:44.231000000,-0.096,-0.44,0.037,0.055,2.29,8.3,0.0,15.3,-42.1,-403.53,654.01,-2.411,-0.106,228.06,09:41:06.737000
,tractordroid-23080159,,2024-08-21 09:41:06.848000000,2024-08-21 09:42:44.231000000,-0.105,-0.49,0.036,0.052,2.27,8.3,0.0,14.1,-51.8,-403.38,653.8,-2.418,-0.102,228.07,09:41:06.848000
