id,device_id,bundle_id,ts,received_at,ang_diff,cte,pitch,roll,speed,speed_fb,speed_ref,steer_fb,steer_ref,x,y,yaw,yaw_rate,z,time
,tractordroid-23080159,,2024-08-21 12:44:46.922000000,2024-08-21 12:44:48.051000000,0.042,0.25,0.038,-0.012,-0.03,0.0,0.0,-15.9,69.2,-458.47,647.02,-2.356,0.0,225.26,12:44:46.922000
,tractordroid-23080159,,2024-08-21 12:44:47.043000000,2024-08-21 12:45:48.602000000,0.045,0.23,0.038,-0.012,-0.03,0.0,0.0,-15.9,61.8,-458.48,647.02,-2.356,0.0,225.26,12:44:47.043000
,tractordroid-23080159,,2024-08-21 12:44:47.149000000,2024-08-21 12:45:48.602000000,0.047,0.22,0.038,-0.012,-0.03,0.0,0.0,-15.9,58.4,-458.48,647.02,-2.356,0.0,225.26,12:44:47.149000
,tractordroid-23080159,,2024-08-21 12:44:47.251000000,2024-08-21 12:45:48.602000000,0.044,0.23,0.038,-0.012,-0.03,0.0,0.0,-15.9,62.7,-458.48,647.02,-2.356,0.0,225.26,12:44:47.251000
,tractordroid-23080159,,2024-08-21 12:44:47.357000000,2024-08-21 12:45:48.602000000,0.037,0.24,0.038,-0.012,-0.05,0.0,0.0,-7.7,67.1,-458.48,647.02,-2.356,0.0,225.26,12:44:47.357000
,tractordroid-23080159,,2024-08-21 12:44:47.465000000,2024-08-21 12:45:48.602000000,0.026,0.22,0.038,-0.011,-0.03,0.0,0.0,3.5,55.8,-458.48,647.02,-2.356,-0.0,225.26,12:44:47.465000
,tractordroid-23080159,,2024-08-21 12:44:47.573000000,2024-08-21 12:45:48.602000000,0.015,0.16,0.038,-0.011,-0.04,0.0,0.0,11.3,41.0,-458.49,647.03,-2.356,-0.0,225.26,12:44:47.573000
,tractordroid-23080159,,2024-08-21 12:44:47.677000000,2024-08-21 12:45:48.602000000,0.002,0.09,0.038,-0.011,-0.04,0.0,0.0,25.7,21.1,-458.49,647.03,-2.356,-0.0,225.26,12:44:47.677000
,tractordroid-23080159,,2024-08-21 12:44:47.779000000,2024-08-21 12:45:48.602000000,-0.011,0.03,0.038,-0.01,-0.04,0.0,0.0,29.3,2.1,-458.49,647.03,-2.356,-0.0,225.26,12:44:47.779000
,tractordroid-23080159,,2024-08-21 12:44:47.883000000,2024-08-21 12:45:48.602000000,-0.021,-0.01,0.037,-0.01,-0.05,0.0,0.0,27.2,-11.2,-458.49,647.04,-2.356,-0.0,225.26,12:44:47.883000
